,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,scaled midfield,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2026-04-20 20:00:00,94,Europe Cup,England,14.7558,17.9005,16.4491,11.75,16.5,16.5,17.75,15.25,18.5,17.0,10.0,11.75,Normal,0,0,3-4-3,3,4,3,1,2,13,ZUEQEUUEQHQUQP,3003000,H,Liechtenstein,12.5,16.0,19.25,15.75,11.5,14.25,11.75,8.5,11.5,Normal,0,0,3-5-2,3,5,2,4,0,13,ZUEUEQQHHQQWQE,3133010300,A,40821670,13.0108,Lie,2026-04-20,N,CC,13.010761417188323,343,NN-N-NM-NNMNNN
1,2026-04-17 20:00:00,94,Europe Cup,England,13.5377,12.1372,12.1372,8.5,22.25,24.25,21.75,14.5,13.0,13.0,9.75,12.5,Counter-attacks,20,0,4-4-2,4,4,2,0,-10,13,ZUQEQUQHQEUWEQ,0,A,San Marino,11.5,18.5,19.0,18.25,11.5,10.75,11.5,7.0,10.5,Normal,0,0,3-5-2,3,5,2,2,0,20,UUEUEHHUQUQQEP,3000300,H,40821645,12.5057,San,2026-04-17,CA,CC,12.505716552752055,442ca,NNN-NNNNN-NN-N
2,2026-04-10 20:00:00,94,Friendly,England,,,,8.5,14.25,19.0,18.5,13.25,14.0,10.5,8.0,9.75,Normal,0,0,3-4-3,3,4,3,2,-10,9,ZUEEUQQHEQQUHU,30020000,A,Oman,12.0,16.75,16.25,17.75,12.75,14.75,14.25,7.75,11.25,Normal,0,0,3-5-2,3,5,2,3,0,11,ZQEHEUTUHHQHEU,103100000,H,40847287,,Oma,2026-04-10,N,F,,343,NN--NMNN-DNNNN
3,2026-04-03 20:00:00,94,Friendly,England,,,,7.75,26.25,28.0,25.25,8.0,5.75,7.75,6.75,11.75,Pressing,12,0,5-4-1,5,4,1,1,-10,9,ZHTQUUUHQEHEUE,2004222220,H,Island,9.5,17.0,17.5,18.0,12.5,13.0,12.5,7.0,10.25,Normal,0,0,3-5-2,3,5,2,2,0,10,ZHEQEPQHHHQTEW,0,A,40806840,,Isl,2026-04-03,Pr,F,,AoD,NDNNWDDDD-D-N-
4,2026-03-27 20:00:00,92,Friendly,England,,,,7.75,22.5,22.75,18.75,15.25,10.25,9.25,7.5,10.5,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,9,ZUTEUQQHEQQEHU,403042000,A,Israel,6.0,17.25,19.0,20.25,11.25,9.0,10.75,7.0,10.5,Normal,0,0,3-5-2,3,5,2,0,-10,11,ZHEUEHUUPQHTES,22,H,40746236,,Isr,2026-03-27,CA,F,,442ca,NNW-NMNW-DN-NN
5,2026-03-20 20:00:00,92,Friendly,England,,,,6.0,22.25,24.75,21.0,14.75,9.5,10.75,7.25,10.75,Counter-attacks,22,0,5-3-2,5,3,2,0,-10,8,QHTQHUHQEEUUHE,4000,H,Nippon,8.25,20.5,23.0,24.5,5.0,9.75,16.25,9.25,12.0,Counter-attacks,20,0,5-3-2,5,3,2,0,-10,12,UTHHUUEEHHQEUQ,2004000004,A,40556987,,Nip,2026-03-20,CA,F,,hardca,NNNNNNNW--NNN-
6,2026-03-13 20:00:00,92,Friendly,England,,,,5.0,20.25,21.25,19.25,14.5,12.5,12.5,7.75,10.0,Counter-attacks,17,0,4-3-3,4,3,3,0,-10,9,ZHHETUHEQEQUHU,20000,H,Hanguk,10.5,13.5,10.75,12.75,16.0,19.0,16.25,7.75,9.75,Normal,0,0,2-5-3,2,5,3,2,6,11,UQEEETQZHUQWQW,100000,A,40215288,,Han,2026-03-13,CA,F,,hardca,NNN-NNN-D-NNNN
7,2026-03-06 20:00:00,92,Friendly,England,,,,6.5,21.25,18.75,19.75,15.25,13.75,15.5,9.25,10.75,Counter-attacks,18,0,4-3-3,4,3,3,1,-10,10,UUQEQHQEEQQUUQ,400000000,A,Cabo Verde,10.75,21.5,26.5,22.5,9.25,8.0,9.0,6.5,11.0,Counter-attacks,15,0,4-5-1,4,5,1,2,-10,12,ZUQEQQSUHHUEPE,300030,H,40184204,,Cab,2026-03-06,CA,F,,hardca,NNW-NNN--NNNNN
8,2026-02-27 20:00:00,92,Friendly,England,,,,7.25,19.0,21.5,19.75,11.75,5.0,11.5,7.75,11.25,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,10,UHQEQUQQEQQQEQ,44,A,Nederland,9.0,19.5,18.25,18.5,13.5,12.0,14.0,8.75,11.75,Normal,0,0,3-5-2,3,5,2,2,-5,12,ZQEUEHHHHQHTEP,20,H,40135963,,Ned,2026-02-27,CA,F,,442ca,NNN-NNNN-NNW-W
9,2026-02-20 20:00:00,92,Friendly,England,,,,9.5,11.5,12.25,9.5,17.25,18.75,11.75,9.75,10.25,Normal,0,0,2-5-3,2,5,3,5,10,10,ZUEEQEUZpQQUPU,1101213000,H,Canada,7.5,18.0,19.5,18.0,11.0,10.5,11.75,9.75,12.0,Play creatively,21,0,4-4-2,4,4,2,1,-10,10,UUUEUUQEQQQEQQ,3400000000,A,40094311,,Can,2026-02-20,N,F,,AoA,NO--O-NODOMNNN
10,2026-02-13 20:00:00,92,Friendly,England,,,,7.0,16.75,19.5,16.75,10.25,7.75,10.25,6.5,11.0,Normal,0,0,4-5-1,4,5,1,1,2,9,ZHQEHQQHPQUEEQ,0,H,Iran,5.0,22.5,21.5,21.0,12.75,9.75,14.25,7.0,10.5,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,10,UHHEPQUHEPQWEH,400000004,A,40051097,,Ira,2026-02-13,N,F,,bal,NNN-NNNNNNN--N
11,2026-02-06 20:00:00,92,World Cup,England,12.8332,16.6356,16.1603,14.5,13.0,14.75,14.5,13.5,17.5,17.0,10.5,12.25,Normal,0,0,3-5-2,3,5,2,3,6,14,ZQEUEHHpUHQWEU,103200300,A,Angola,13.75,19.0,20.25,19.25,12.5,12.5,10.75,8.0,11.25,Normal,0,0,3-5-2,3,5,2,4,-5,14,ZZEHEUUUpHHUPE,3020300,H,39851875,16.4785,Ang,2026-02-06,N,WC2,16.478472924815964,bal,NN-O-NMDNNMN-N
12,2026-01-30 20:00:00,92,World Cup,England,14.1437,13.4482,11.3614,15.5,15.75,16.0,15.75,15.25,14.5,12.25,9.5,12.0,Pressing,11,0,3-5-2,3,5,2,1,-1,15,ZQEQEUQHHUQPQE,103300000,H,Suomi,16.5,20.75,21.25,21.0,10.5,11.25,11.25,12.0,14.0,Normal,0,0,3-5-2,3,5,2,3,-10,13,UHEHEHQHHHQEWQ,3000300,A,39851844,14.531,Suo,2026-01-30,Pr,WC2,14.530952752880768,AoD,NN-O-NMMNNNNN-
